Serial number,device_code,device_name_en,device_name_fr,Model,Status,Facility_code,Facility_name_en,Facility_name_fr,Department,Department_name_en,Department_name_fr,Room,Manufacturer_code,Manufacturer_code,Manufacture date,Supplier,Manufacturer_code,Supply date,Cost,Currency,Donation,Obsolete,Warranty start,Warranty end
SERIAL10,15819,X-Ray Film Cutter,,MODELTen3,UNDERMAINTENANCE,Butaro DH,Butaro DH,,ANAESTHETICS,Anaesthetics,,Room 10A1
SERIAL09,15819,X-Ray Film Cutter,,MODEL3,UNDERMAINTENANCE,Butaro DH,Butaro DH,,ANAESTHETICS,Anaesthetics,,Room 9A1
SERIAL08,15819,X-Ray Film Cutter,,MODEL8,UNDERMAINTENANCE,Butaro DH,Butaro DH,,ANAESTHETICS,Anaesthetics,,Room A3
SERIAL07,15819,X-Ray Film Cutter,,MODEL3,UNDERMAINTENANCE,Butaro DH,Butaro DH,,ANAESTHETICS,Anaesthetics,,Room A1
SERIAL15,15819,X-Ray Film Cutter,,MODEL3,UNDERMAINTENANCE,Butaro DH,Butaro DH,,ANAESTHETICS,Anaesthetics,,Room A1
SERIAL14,10026,Adhesive Strips,,MODEL1,UNDERMAINTENANCE,Bungwe HC,Bungwe HC,,CONSULTATION,Consultation,,Room A1
SERIAL13,15819,X-Ray Film Cutter,,MODEL2,UNDERMAINTENANCE,Kivuye HC,Kivuye HC,,CARDIOLOGY,Cardiology,,Room A1
SERIAL12,15966,Video Systems,,MODEL3,OPERATIONAL,Bungwe HC,Bungwe HC,,EMERGENCY,Emeregency,,Room A1
SERIAL11,15810,Accelerometers,Accelerometers,MODEL2,OPERATIONAL,Kivuye HC,Kivuye HC,,PEDIATRY,Pediatry,,Room A34
SERIAL01,15819,X-Ray Film Cutter,,MODEL1,INSTOCK,Butaro DH,Butaro DH,,SURGERY,Surgery,,Room A1
